"MANDT","KURST","FCURR","TCURR","GDATU","UKURS","FFACT","TFACT"
"800","EURX","CLP","EUR","79959172","-753.34000","0","0"
"800","EURX","JPY","EUR","79949383","-131.87500","0","0"
"800","EURG","JPY","EUR","79949875","-134.01500","0","0"
"800","EURX","PLN","EUR","79949497","-4.26200","0","0"
"800","EURX","AUD","EUR","79949371","-1.57690","0","0"
"800","1001","FRF","USD","80059898","0.17000","0","0"
"811","EURX","SEK","EUR","80009898","-9.52339","0","0"
"800","EURX","GBP","EUR","79958886","-69.92000","0","0"
"800","EURX","CLP","EUR","79959173","-761.86000","0","0"
"800","EURX","SIT","EUR","79949792","-187.82500","0","0"
"800","EURX","AUD","EUR","79949372","-1.58070","0","0"
"800","EURX","JPY","EUR","79949385","-131.79500","0","0"
"800","1001","GBP","USD","80049898","1.70000","0","0"
"811","EURX","SIT","EUR","80009898","-217.40937","0","0"
"800","EURX","SIT","EUR","79949793","-186.22500","0","0"
"800","EURG","JPY","EUR","79949876","-134.03500","0","0"
"800","EURX","PLN","EUR","79949570","-4.27800","0","0"
"800","EURX","CLP","EUR","79959174","-761.45000","0","0"
"800","EURX","JPY","EUR","79949386","-131.81500","0","0"
"800","1001","GBP","USD","80059898","1.60000","0","0"
"800","EURX","GBP","EUR","79958887","-69.92000","0","0"
"811","EURX","SKK","EUR","80009898","-43.46644","0","0"
"800","EURX","SIT","EUR","79949794","-186.22500","0","0"
"800","EURX","AUD","EUR","79949375","-1.56860","0","0"
"800","EURX","CLP","EUR","79959175","-755.13000","0","0"
"800","EURG","JPY","EUR","79949877","-134.03500","0","0"
"800","1002","AUD","USD","80049898","0.72000","0","0"
"800","EURX","PLN","EUR","79949571","-4.29000","0","0"
"811","EURX","USD","EUR","79969898","-0.99650","0","0"
"800","EURX","JPY","EUR","79949389","-131.22500","0","0"
"800","EURX","CLP","EUR","79959176","-767.02000","0","0"
"800","EURX","GBP","EUR","79958888","-70.05000","0","0"
"800","EURX","SIT","EUR","79949795","-186.22500","0","0"
"800","EURX","AUD","EUR","79949377","-1.55740","0","0"
"800","EURG","JPY","EUR","79949878","-134.03500","0","0"
"800","1002","AUD","USD","80059898","0.70000","0","0"
"811","EURX","USD","EUR","79998979","-0.84730","1","1"
"800","EURX","AUD","EUR","79949378","-1.56000","0","0"
"800","EURX","PLN","EUR","79949572","-4.22900","0","0"
"800","EURX","CLP","EUR","79959177","-780.31000","0","0"
"800","EURX","JPY","EUR","79949390","-131.53500","0","0"
