"MANDT","WAERS","ISOCD","ALTWR","GDATU","XPRIMARY"
"812","GEK","GEK","","00000000",""
"000","VEB","VEB","862","00000000",""
"812","GHC","GHC","","00000000",""
"000","VEF","VEF","937","00000000",""
"812","GIP","GIP","","00000000",""
"000","VND","VND","704","00000000",""
"812","GMD","GMD","","00000000",""
"000","VUV","VUV","548","00000000",""
"812","GNS","GNS","","00000000",""
"000","WST","WST","882","00000000",""
"000","XAF","XAF","950","00000000",""
"812","GRD","GRD","","00000000",""
"000","XCD","XCD","951","00000000",""
"812","GTQ","GTQ","","00000000",""
"000","XDS","","","00000000",""
"812","GWP","GWP","","00000000",""
"000","XEU","XEU","954","00000000",""
"812","GYD","GYD","","00000000",""
"000","XOF","XOF","952","00000000",""
"000","XPF","XPF","953","00000000","X"
"000","YER","YER","886","00000000",""
"812","HKD","HKD","","00000000",""
"000","YUM","YUM","891","00000000",""
"812","HNL","HNL","","00000000",""
"000","ZAR","ZAR","710","00000000",""
"812","HRK","HRK","","00000000",""
"000","ZMK","ZMK","894","00000000",""
"812","HTG","HTG","","00000000",""
"000","ZRN","ZRN","180","00000000",""
"812","HUF","HUF","","00000000",""
"000","ZWD","ZWD","716","00000000",""
"812","IDR","IDR","","00000000",""
"001","ADP","ADP","020","00000000",""
"812","IEP","IEP","","00000000",""
"001","AED","AED","784","00000000",""
"812","ILS","ILS","","00000000",""
"001","AFA","AFA","004","00000000",""
"812","INR","INR","","00000000",""
"001","AFN","AFN","971","00000000",""
"812","IQD","IQD","","00000000",""
"001","ALL","ALL","008","00000000",""
"812","IRR","IRR","","00000000",""
"001","AMD","AMD","051","00000000",""
"001","ANG","ANG","532","00000000",""
"812","ISK","ISK","","00000000",""
"001","AOA","AOA","973","00000000",""
"812","JMD","JMD","","00000000",""
"812","JOD","JOD","","00000000",""
"001","AON","AON","024","00000000",""
"812","KES","KES","","00000000",""
"001","AOR","AOR","982","00000000",""
"001","ARS","ARS","032","00000000",""
"001","ATS","ATS","040","00000000",""
"001","AUD","AUD","036","00000000",""
"812","KGS","KGS","","00000000",""
"001","AWG","AWG","533","00000000",""
"812","KHR","KHR","","00000000",""
"001","AZM","AZM","031","00000000",""
"812","KMF","KMF","","00000000",""
"001","BAM","BAM","977","00000000",""
"812","KPW","KPW","","00000000",""
"001","BBD","BBD","052","00000000",""
"812","KRW","KRW","","00000000",""
"001","BDT","BDT","050","00000000",""
"812","KWD","KWD","","00000000",""
"001","BEF","BEF","056","00000000",""
"812","KYD","KYD","","00000000",""
"001","BGN","BGN","975","00000000",""
"812","KZT","KZT","","00000000",""
"001","BHD","BHD","048","00000000",""
"812","LAK","LAK","","00000000",""
"001","BIF","BIF","108","00000000",""
"812","LBP","LBP","","00000000",""
"812","LKR","LKR","","00000000",""
"001","BMD","BMD","060","00000000",""
"812","LRD","LRD","","00000000",""
"001","BND","BND","096","00000000",""
"812","LSL","LSL","","00000000",""
"001","BOB","BOB","068","00000000",""
"812","LTL","LTL","","00000000",""
"001","BRL","BRL","986","00000000",""
"812","LUF","LUF","","00000000",""
"001","BSD","BSD","044","00000000",""
"812","LVL","LVL","","00000000",""
"001","BTN","BTN","064","00000000",""
"812","LYD","LYD","","00000000",""
"001","BWP","BWP","072","00000000",""
"812","MAD","MAD","","00000000",""
"001","BYB","BYB","112","00000000",""
"812","MDL","MDL","","00000000",""
"001","BYR","BYR","974","00000000",""
"812","MGF","MGF","","00000000",""
"001","BZD","BZD","084","00000000",""
"812","MNT","MNT","","00000000",""
"001","CAD","CAD","124","00000000",""
"812","MOP","MOP","","00000000",""
"812","MRO","MRO","","00000000",""
"001","CDF","CDF","976","00000000",""
"001","CFP","XPF","953","00000000",""
"812","MTL","MTL","","00000000",""
"001","CHF","CHF","756","00000000",""
"812","MUR","MUR","","00000000",""
"001","CLP","CLP","152","00000000",""
"812","MVR","MVR","","00000000",""
"001","CNY","CNY","156","00000000","X"
"812","MWK","MWK","","00000000",""
"001","COP","COP","170","00000000",""
"812","MXN","MXN","","00000000",""
"001","CRC","CRC","188","00000000",""
"812","MYR","MYR","","00000000",""
"001","CSD","CSD","891","00000000",""
"812","MZM","MZM","","00000000",""
"001","CUP","CUP","192","00000000",""
"812","NGN","NGN","","00000000",""
"001","CVE","CVE","132","00000000",""
"812","NIC","NIC","","00000000",""
"001","CYP","CYP","196","00000000",""
"812","NOK","NOK","","00000000",""
"001","CZK","CZK","203","00000000",""
"812","NPR","NPR","","00000000",""
"812","NZD","NZD","","00000000",""
"001","DEM","DEM","280","00000000","X"
"800","ECU","0","","00000000",""
"812","OMR","OMR","","00000000",""
"001","DEM3","DEM","280","00000000",""
"812","PAB","PAB","","00000000",""
"001","DJF","DJF","262","00000000",""
"812","PEN","PEN","","00000000",""
"800","EUR3","EUR","","00000000",""
"001","DKK","DKK","208","00000000",""
"812","PGK","PGK","","00000000",""
"800","GEK","GEK","","00000000",""
"001","DOP","DOP","214","00000000",""
"812","PHP","PHP","","00000000",""
"800","IGPM","IGP","","00000000",""
"001","DZD","DZD","012","00000000",""
"812","PKR","PKR","","00000000",""
"800","KIS","KIS","","00000000",""
"812","PLN","PLN","","00000000",""
"800","MNT","MNT","496","00000000",""
"812","PTE","PTE","","00000000",""
"812","PYG","PYG","","00000000",""
"800","MOP","MOP","446","00000000",""
"001","ECS","ECS","218","00000000",""
"800","MRO","MRO","478","00000000",""
"812","QAR","QAR","","00000000",""
"800","MTL","MTL","470","00000000",""
"812","RMB","RMB","","00000000",""
"001","EEK","EEK","233","00000000",""
"812","ROL","ROL","","00000000",""
